idx,gcp_service_id,gcp_service,gcp_total_cost,month,service_id,service,metamist_total_cost,diff
Cloud Run|202108|152E-C115-5142,152E-C115-5142,Cloud Run,9.174111,202108,152E-C115-5142,Cloud Run,9.174111,0.0
Cloud Run|202109|152E-C115-5142,152E-C115-5142,Cloud Run,13.495103000000004,202109,152E-C115-5142,Cloud Run,13.299315999999997,-0.19578700000000637
Cloud Run|202109|seqr,0,0,0.0,202109,seqr,Cloud Run,0.39157400000000003,0.39157400000000003
Cloud Run|202110|152E-C115-5142,152E-C115-5142,Cloud Run,20.957077,202110,152E-C115-5142,Cloud Run,20.743960999999995,-0.21311600000000652
Cloud Run|202110|seqr,0,0,0.0,202110,seqr,Cloud Run,0.426232,0.426232
Cloud Run|202111|152E-C115-5142,152E-C115-5142,Cloud Run,13.856738999999994,202111,152E-C115-5142,Cloud Run,13.818762999999999,-0.037975999999995125
Cloud Run|202111|seqr,0,0,0.0,202111,seqr,Cloud Run,0.07595199999999999,0.07595199999999999
Cloud Run|202112|152E-C115-5142,152E-C115-5142,Cloud Run,19.048209,202112,152E-C115-5142,Cloud Run,19.010735999999998,-0.03747300000000209
Cloud Run|202112|seqr,0,0,0.0,202112,seqr,Cloud Run,0.07494599999999998,0.07494599999999998
Cloud SQL Credit|202108|seqr,0,0,0.0,202108,seqr,Cloud SQL Credit,-3.049452999999999,-3.049452999999999
Cloud SQL Credit|202109|seqr,0,0,0.0,202109,seqr,Cloud SQL Credit,-93.43139900000011,-93.43139900000011
Cloud SQL Credit|202110|seqr,0,0,0.0,202110,seqr,Cloud SQL Credit,-97.14008199999996,-97.14008199999996
Cloud SQL Credit|202111|seqr,0,0,0.0,202111,seqr,Cloud SQL Credit,-90.68608400000016,-90.68608400000016
Cloud SQL Credit|202112|seqr,0,0,0.0,202112,seqr,Cloud SQL Credit,-95.35257300000004,-95.35257300000004
Cloud SQL|202107|9662-B51E-5089,9662-B51E-5089,Cloud SQL,696.6790900000008,202107,9662-B51E-5089,Cloud SQL,690.699376000001,-5.979713999999717
Cloud SQL|202108|9662-B51E-5089,9662-B51E-5089,Cloud SQL,398.95882599999914,202108,9662-B51E-5089,Cloud SQL,395.90937299999985,-3.049452999999289
Cloud SQL|202108|seqr,0,0,0.0,202108,seqr,Cloud SQL,6.098906000000008,6.098906000000008
Cloud SQL|202109|9662-B51E-5089,9662-B51E-5089,Cloud SQL,207.2180949999998,202109,9662-B51E-5089,Cloud SQL,113.7866960000003,-93.4313989999995
Cloud SQL|202109|seqr,0,0,0.0,202109,seqr,Cloud SQL,186.86279799999983,186.86279799999983
